cvrp_id,purch_lease,veh_model,tot_rebate,purch_price,air_dstrct,cnty,zipcode,census_trct,prev_tech_type,reason,residence_type,solar_panels,num_cars_HH,num_lic_drvr_HH,gender,HH_education,HH_income,tax_filing_status,HH_size,amer_indian_alskn_native,blck_afr_amer,east_asian,latino,middl_eastern,hawii_pac_islnd,south_asian,white,nan_ethnic,other_ethnic,cvrp_17,tech_type,age
A-217774,Lease,Nissan LEAF S,4500,29500.0,Bay Area,Sonoma,95472,6097153502.0,2.0,3.0,1,1.0,3.0,2.0,2.0,5,2.0,2.0,3.0,,,,,,,,1.0,,,0,BEV,5.0
A-217877,Lease,Chevrolet Volt,3500,32092.6,South Coast,Riverside,92596,6065043242.0,2.0,3.0,1,1.0,3.0,2.0,1.0,4,2.0,-77.0,3.0,,,,,,,,,1.0,,0,PHEV,4.0
A-218014,Lease,Volkswagen e-Golf,4000,31260.0,Ventura,Ventura,93010,6111005600.0,2.0,2.0,1,4.0,2.0,2.0,1.0,5,2.0,2.0,6.0,,,,,,,,1.0,,,0,BEV,3.0
A-259244,Lease,FIAT 500e,4500,30470.58,South Coast,Orange,92618,6059052426.0,2.0,1.0,1,1.0,1.0,1.0,2.0,5,2.0,3.0,1.0,,,,,,,,,,1.0,1,BEV,4.0
A-218073,Lease,FIAT 500e,4500,29740.08,South Coast,San Bernardino,91709,6071000116.0,,4.0,1,4.0,3.0,2.0,2.0,3,2.0,1.0,2.0,,,,,,,,1.0,,,0,BEV,4.0
A-266812,Lease,BMW i3,4500,43990.0,South Coast,Los Angeles,91205,6037302202.0,,,1,5.0,1.0,2.0,1.0,2,1.0,2.0,4.0,,,,,,,,1.0,,,1,BEV,3.0
A-233243,Lease,FIAT 500e,4500,31310.0,San Joaquin Valley Unified,Fresno,93654,6019006300.0,,1.0,-99,3.0,4.0,2.0,1.0,3,1.0,2.0,9.0,,1.0,,,,,,,,,0,BEV,4.0
A-254043,Lease,Chevrolet Volt,3500,30930.9,South Coast,Los Angeles,91605,6037121802.0,6.0,3.0,2,5.0,1.0,2.0,2.0,3,1.0,-77.0,2.0,,,,,,,,,1.0,,1,PHEV,6.0
A-254037,Lease,FIAT 500e,4500,31683.16,South Coast,Los Angeles,91706,6037404801.0,2.0,2.0,2,4.0,3.0,3.0,2.0,2,1.0,4.0,3.0,,,1.0,,,,,,,,1,BEV,5.0
A-254065,Purchase,Toyota Prius Prime,3500,29987.0,San Diego,San Diego,92021,6073016401.0,6.0,2.0,1,3.0,1.0,1.0,1.0,4,2.0,1.0,2.0,,,,,,,,1.0,,,1,PHEV,5.0
A-217688,Lease,FIAT 500e,4500,31883.35,South Coast,Los Angeles,91316,6037139503.0,,2.0,3,5.0,1.0,1.0,2.0,5,1.0,1.0,1.0,,,,,,,,,1.0,,0,BEV,-77.0
